From;To;Type;Through;-1;-1;-1;-1;Comment
232;192;sea;2539;-1;-1;-1;-1;Province0232-Province0192
301;292;sea;2546;-1;-1;-1;-1;Province0301-Province0292
390;396;sea;2555;-1;-1;-1;-1;Province0390-Province0396
443;448;sea;2568;-1;-1;-1;-1;Province0443-Province0448
439;460;sea;2582;-1;-1;-1;-1;Province0439-Province0460
458;473;sea;2564;-1;-1;-1;-1;Province0458-Province0473
465;483;sea;2584;-1;-1;-1;-1;Province0465-Province0483
449;484;sea;2574;-1;-1;-1;-1;Province0449-Province0484
465;506;sea;2584;-1;-1;-1;-1;Province0465-Province0506
465;511;sea;2584;-1;-1;-1;-1;Province0465-Province0511
46;88;sea;2512;-1;-1;-1;-1;Province0046-Province0088
46;106;sea;2512;-1;-1;-1;-1;Province0046-Province0106
46;130;sea;2512;-1;-1;-1;-1;Province0046-Province0130
88;106;sea;2512;-1;-1;-1;-1;Province0088-Province0106
88;132;sea;2512;-1;-1;-1;-1;Province0088-Province0132
88;160;sea;2512;-1;-1;-1;-1;Province0088-Province0160
106;132;sea;2512;-1;-1;-1;-1;Province0106-Province0132
106;160;sea;2512;-1;-1;-1;-1;Province0106-Province0160
106;221;sea;2512;-1;-1;-1;-1;Province0106-Province0221
183;160;sea;2512;-1;-1;-1;-1;Province0183-Province0160
183;221;sea;2512;-1;-1;-1;-1;Province0183-Province0221
160;221;sea;2512;-1;-1;-1;-1;Province0160-Province0221
164;246;sea;2523;-1;-1;-1;-1;Province0164-Province0246
165;177;sea;2521;-1;-1;-1;-1;Province0165-Province0177
165;192;sea;2521;-1;-1;-1;-1;Province0165-Province0192
177;214;sea;2521;-1;-1;-1;-1;Province0177-Province0214
177;245;sea;2525;-1;-1;-1;-1;Province0177-Province0245
214;245;sea;2525;-1;-1;-1;-1;Province0214-Province0245
384;419;sea;2554;-1;-1;-1;-1;Province0384-Province0419
421;448;sea;2568;-1;-1;-1;-1;Province0421-Province0448
460;511;sea;2582;-1;-1;-1;-1;Province0460-Province0511
473;483;sea;2584;-1;-1;-1;-1;Province0473-Province0483
472;487;sea;2574;-1;-1;-1;-1;Province0472-Province0487
473;506;sea;2584;-1;-1;-1;-1;Province0473-Province0506
473;511;sea;2584;-1;-1;-1;-1;Province0473-Province0511
477;492;sea;2589;-1;-1;-1;-1;Province0477-Province0492
477;501;sea;2589;-1;-1;-1;-1;Province0477-Province0501
483;506;sea;2584;-1;-1;-1;-1;Province0483-Province0506
483;511;sea;2584;-1;-1;-1;-1;Province0483-Province0511
534;536;sea;2593;-1;-1;-1;-1;Province0534-Province0536
534;511;sea;2607;-1;-1;-1;-1;Province0534-Province0511
503;523;sea;2598;-1;-1;-1;-1;Province0503-Province0523
506;511;sea;2584;-1;-1;-1;-1;Province0506-Province0511
523;566;sea;2598;-1;-1;-1;-1;Province0523-Province0566
552;572;sea;2603;-1;-1;-1;-1;Province0552-Province0572
598;661;sea;2608;-1;-1;-1;-1;Province0598-Province0661
662;663;sea;2609;-1;-1;-1;-1;Province0662-Province0663
662;701;sea;2614;-1;-1;-1;-1;Province0662-Province0701
662;717;sea;2614;-1;-1;-1;-1;Province0662-Province0717
664;701;sea;2614;-1;-1;-1;-1;Province0664-Province0701
663;717;sea;2614;-1;-1;-1;-1;Province0663-Province0717
710;717;sea;2614;-1;-1;-1;-1;Province0710-Province0717
710;740;sea;2619;-1;-1;-1;-1;Province0710-Province0740
717;740;sea;2619;-1;-1;-1;-1;Province0717-Province0740
1028;1065;sea;2657;-1;-1;-1;-1;Province1028-Province1065
1051;1089;sea;2657;-1;-1;-1;-1;Province1051-Province1089
1051;1105;sea;2657;-1;-1;-1;-1;Province1051-Province1105
816;836;sea;2628;-1;-1;-1;-1;Province0816-Province0836
816;870;sea;2633;-1;-1;-1;-1;Province0816-Province0870
836;899;sea;2639;-1;-1;-1;-1;Province0836-Province0899
1040;1072;sea;2660;-1;-1;-1;-1;Province1040-Province1072
1026;1082;sea;2646;-1;-1;-1;-1;Province1026-Province1082
879;946;sea;2637;-1;-1;-1;-1;Province0879-Province0946
946;994;sea;2637;-1;-1;-1;-1;Province0946-Province0994
978;1014;sea;2648;-1;-1;-1;-1;Province0978-Province1014
978;1042;sea;2648;-1;-1;-1;-1;Province0978-Province1042
1153;1142;sea;2657;-1;-1;-1;-1;Province1153-Province1142
1211;1203;sea;2669;-1;-1;-1;-1;Province1211-Province1203
1218;1214;sea;2676;-1;-1;-1;-1;Province1218-Province1214
1227;1252;sea;2684;-1;-1;-1;-1;Province1227-Province1252
1280;1268;sea;2676;-1;-1;-1;-1;Province1280-Province1268
1391;1403;sea;2699;-1;-1;-1;-1;Province1391-Province1403
1476;1484;sea;2722;-1;-1;-1;-1;Province1476-Province1484
1497;1506;sea;2722;-1;-1;-1;-1;Province1497-Province1506
1587;1590;sea;2745;-1;-1;-1;-1;Province1587-Province1590
1539;1567;sea;2744;-1;-1;-1;-1;Province1539-Province1567
1014;1042;sea;2648;-1;-1;-1;-1;Province1014-Province1042
1073;1092;sea;2648;-1;-1;-1;-1;Province1073-Province1092
1089;1105;sea;2657;-1;-1;-1;-1;Province1089-Province1105
1089;1139;sea;2666;-1;-1;-1;-1;Province1089-Province1139
1300;1318;sea;2696;-1;-1;-1;-1;Province1300-Province1318
1287;1329;sea;2696;-1;-1;-1;-1;Province1287-Province1329
1092;1126;sea;2656;-1;-1;-1;-1;Province1092-Province1126
1135;1139;sea;2676;-1;-1;-1;-1;Province1135-Province1139
1141;1147;sea;2664;-1;-1;-1;-1;Province1141-Province1147
1154;1171;sea;2664;-1;-1;-1;-1;Province1154-Province1171
1154;1173;sea;2664;-1;-1;-1;-1;Province1154-Province1173
1182;1187;sea;2686;-1;-1;-1;-1;Province1182-Province1187
1198;1220;sea;2663;-1;-1;-1;-1;Province1198-Province1220
1171;1173;sea;2664;-1;-1;-1;-1;Province1171-Province1173
1171;1186;sea;2674;-1;-1;-1;-1;Province1171-Province1186
1173;1184;sea;2679;-1;-1;-1;-1;Province1173-Province1184
1173;1197;sea;2679;-1;-1;-1;-1;Province1173-Province1197
1184;1197;sea;2679;-1;-1;-1;-1;Province1184-Province1197
1191;1221;sea;2679;-1;-1;-1;-1;Province1191-Province1221
1191;1231;sea;2679;-1;-1;-1;-1;Province1191-Province1231
1247;1229;sea;2681;-1;-1;-1;-1;Province1247-Province1229
1247;1256;sea;2681;-1;-1;-1;-1;Province1247-Province1256
1196;1203;sea;2669;-1;-1;-1;-1;Province1196-Province1203
1196;1207;sea;2669;-1;-1;-1;-1;Province1196-Province1207
1196;1226;sea;2669;-1;-1;-1;-1;Province1196-Province1226
1216;1219;sea;2679;-1;-1;-1;-1;Province1216-Province1219
1216;1234;sea;2683;-1;-1;-1;-1;Province1216-Province1234
1240;1262;sea;2683;-1;-1;-1;-1;Province1240-Province1262
1240;1264;sea;2683;-1;-1;-1;-1;Province1240-Province1264
1240;1267;sea;2683;-1;-1;-1;-1;Province1240-Province1267
1240;1271;sea;2683;-1;-1;-1;-1;Province1240-Province1271
1203;1224;sea;2669;-1;-1;-1;-1;Province1203-Province1224
1203;1226;sea;2669;-1;-1;-1;-1;Province1203-Province1226
1224;1226;sea;2669;-1;-1;-1;-1;Province1224-Province1226
1220;1265;sea;2686;-1;-1;-1;-1;Province1220-Province1265
1221;1228;sea;2679;-1;-1;-1;-1;Province1221-Province1228
1219;1231;sea;2679;-1;-1;-1;-1;Province1219-Province1231
1228;1236;sea;2674;-1;-1;-1;-1;Province1228-Province1236
1234;1262;sea;2683;-1;-1;-1;-1;Province1234-Province1262
1234;1264;sea;2683;-1;-1;-1;-1;Province1234-Province1264
1243;1266;sea;2683;-1;-1;-1;-1;Province1243-Province1266
1234;1267;sea;2683;-1;-1;-1;-1;Province1234-Province1267
1234;1271;sea;2683;-1;-1;-1;-1;Province1234-Province1271
1253;1251;sea;2689;-1;-1;-1;-1;Province1253-Province1251
1236;1266;sea;2687;-1;-1;-1;-1;Province1236-Province1266
1260;1279;sea;2687;-1;-1;-1;-1;Province1260-Province1279
1262;1264;sea;2683;-1;-1;-1;-1;Province1262-Province1264
1262;1267;sea;2683;-1;-1;-1;-1;Province1262-Province1267
1262;1271;sea;2683;-1;-1;-1;-1;Province1262-Province1271
1264;1266;sea;2683;-1;-1;-1;-1;Province1264-Province1266
1264;1267;sea;2683;-1;-1;-1;-1;Province1264-Province1267
1264;1271;sea;2683;-1;-1;-1;-1;Province1264-Province1271
1278;1307;sea;2686;-1;-1;-1;-1;Province1278-Province1307
1266;1267;sea;2683;-1;-1;-1;-1;Province1266-Province1267
1266;1271;sea;2683;-1;-1;-1;-1;Province1266-Province1271
1266;1283;sea;2687;-1;-1;-1;-1;Province1266-Province1283
1267;1271;sea;2683;-1;-1;-1;-1;Province1267-Province1271
1271;1283;sea;2692;-1;-1;-1;-1;Province1271-Province1283
1338;1335;sea;2698;-1;-1;-1;-1;Province1338-Province1335
1359;1370;sea;2706;-1;-1;-1;-1;Province1359-Province1370
1307;1323;sea;2688;-1;-1;-1;-1;Province1307-Province1323
1307;1356;sea;2688;-1;-1;-1;-1;Province1307-Province1356
1320;1324;sea;2697;-1;-1;-1;-1;Province1320-Province1324
1318;1329;sea;2696;-1;-1;-1;-1;Province1318-Province1329
1318;1348;sea;2696;-1;-1;-1;-1;Province1318-Province1348
1318;1357;sea;2696;-1;-1;-1;-1;Province1318-Province1357
1323;1356;sea;2688;-1;-1;-1;-1;Province1323-Province1356
1329;1348;sea;2696;-1;-1;-1;-1;Province1329-Province1348
1329;1357;sea;2696;-1;-1;-1;-1;Province1329-Province1357
1348;1357;sea;2696;-1;-1;-1;-1;Province1348-Province1357
1400;1430;sea;2721;-1;-1;-1;-1;Province1400-Province1430
1508;1491;sea;2729;-1;-1;-1;-1;Province1508-Province1491
1653;1656;sea;2750;-1;-1;-1;-1;Province1653-Province1656
1679;1690;sea;2759;-1;-1;-1;-1;Province1679-Province1690
1716;1747;sea;2755;-1;-1;-1;-1;Province1716-Province1747
1862;1852;sea;2771;-1;-1;-1;-1;Province1862-Province1852
1484;1523;sea;2722;-1;-1;-1;-1;Province1484-Province1523
1484;1506;sea;2722;-1;-1;-1;-1;Province1484-Province1506
1523;1506;sea;2722;-1;-1;-1;-1;Province1523-Province1506
1522;1545;sea;2738;-1;-1;-1;-1;Province1522-Province1545
1522;1568;sea;2738;-1;-1;-1;-1;Province1522-Province1568
1536;1575;sea;2738;-1;-1;-1;-1;Province1536-Province1575
1545;1568;sea;2738;-1;-1;-1;-1;Province1545-Province1568
1545;1575;sea;2738;-1;-1;-1;-1;Province1545-Province1575
1567;1594;sea;2744;-1;-1;-1;-1;Province1567-Province1594
1568;1575;sea;2738;-1;-1;-1;-1;Province1568-Province1575
1594;1610;sea;2744;-1;-1;-1;-1;Province1594-Province1610
1764;1732;sea;2766;-1;-1;-1;-1;Province1764-Province1732
1824;1822;sea;2766;-1;-1;-1;-1;Province1824-Province1822
1729;1736;sea;2760;-1;-1;-1;-1;Province1729-Province1736
1725;1750;sea;2761;-1;-1;-1;-1;Province1725-Province1750
1811;1804;sea;2769;-1;-1;-1;-1;Province1811-Province1804
1821;1838;sea;2769;-1;-1;-1;-1;Province1821-Province1838
1853;1868;sea;2770;-1;-1;-1;-1;Province1853-Province1868
1834;1864;sea;2772;-1;-1;-1;-1;Province1834-Province1864
1827;1838;sea;2769;-1;-1;-1;-1;Province1827-Province1838
1870;1915;sea;2776;-1;-1;-1;-1;Province1870-Province1915
1837;1848;sea;2769;-1;-1;-1;-1;Province1837-Province1848
1837;1872;sea;2776;-1;-1;-1;-1;Province1837-Province1872
1895;1903;sea;2784;-1;-1;-1;-1;Province1895-Province1903
1886;1904;sea;2770;-1;-1;-1;-1;Province1886-Province1904
1848;1872;sea;2776;-1;-1;-1;-1;Province1848-Province1872
1877;1879;sea;2780;-1;-1;-1;-1;Province1877-Province1879
1877;1899;sea;2780;-1;-1;-1;-1;Province1877-Province1899
1932;1944;sea;2780;-1;-1;-1;-1;Province1932-Province1944
1932;1953;sea;2780;-1;-1;-1;-1;Province1932-Province1953
1964;1983;sea;2784;-1;-1;-1;-1;Province1964-Province1983
1964;2005;sea;2790;-1;-1;-1;-1;Province1964-Province2005
2008;2024;sea;2790;-1;-1;-1;-1;Province2008-Province2024
1872;1879;sea;2780;-1;-1;-1;-1;Province1872-Province1879
1907;1899;sea;2780;-1;-1;-1;-1;Province1907-Province1899
1926;1928;sea;2776;-1;-1;-1;-1;Province1926-Province1928
1931;1955;sea;2780;-1;-1;-1;-1;Province1931-Province1955
1946;1972;sea;2776;-1;-1;-1;-1;Province1946-Province1972
1946;1978;sea;2780;-1;-1;-1;-1;Province1946-Province1978
1946;1985;sea;2780;-1;-1;-1;-1;Province1946-Province1985
1879;1899;sea;2780;-1;-1;-1;-1;Province1879-Province1899
1963;1968;sea;2776;-1;-1;-1;-1;Province1963-Province1968
1963;1972;sea;2776;-1;-1;-1;-1;Province1963-Province1972
1988;1997;sea;2793;-1;-1;-1;-1;Province1988-Province1997
1899;1944;sea;2780;-1;-1;-1;-1;Province1899-Province1944
1919;1927;sea;2781;-1;-1;-1;-1;Province1919-Province1927
1925;1950;sea;2785;-1;-1;-1;-1;Province1925-Province1950
1974;1984;sea;2785;-1;-1;-1;-1;Province1974-Province1984
1974;2006;sea;2792;-1;-1;-1;-1;Province1974-Province2006
2259;2323;sea;2822;-1;-1;-1;-1;Province2259-Province2323
2288;2329;sea;2824;-1;-1;-1;-1;Province2288-Province2329
1928;1940;sea;2776;-1;-1;-1;-1;Province1928-Province1940
1928;1972;sea;2776;-1;-1;-1;-1;Province1928-Province1972
1968;1972;sea;2793;-1;-1;-1;-1;Province1968-Province1972
1968;1985;sea;2793;-1;-1;-1;-1;Province1968-Province1985
1968;1997;sea;2793;-1;-1;-1;-1;Province1968-Province1997
1944;1953;sea;2780;-1;-1;-1;-1;Province1944-Province1953
1955;1978;sea;2780;-1;-1;-1;-1;Province1955-Province1978
1955;1980;sea;2791;-1;-1;-1;-1;Province1955-Province1980
1955;1985;sea;2780;-1;-1;-1;-1;Province1955-Province1985
1950;1984;sea;2785;-1;-1;-1;-1;Province1950-Province1984
1953;1995;sea;2791;-1;-1;-1;-1;Province1953-Province1995
1989;1978;sea;2793;-1;-1;-1;-1;Province1989-Province1978
1989;1999;sea;2793;-1;-1;-1;-1;Province1989-Province1999
1989;1985;sea;2793;-1;-1;-1;-1;Province1989-Province1985
1972;1997;sea;2793;-1;-1;-1;-1;Province1972-Province1997
1978;1999;sea;2793;-1;-1;-1;-1;Province1978-Province1999
1978;1985;sea;2780;-1;-1;-1;-1;Province1978-Province1985
1999;1985;sea;2793;-1;-1;-1;-1;Province1999-Province1985
2036;2037;sea;2791;-1;-1;-1;-1;Province2036-Province2037
2046;2075;sea;2796;-1;-1;-1;-1;Province2046-Province2075
2039;2063;sea;2793;-1;-1;-1;-1;Province2039-Province2063
1983;2005;sea;2790;-1;-1;-1;-1;Province1983-Province2005
1984;2006;sea;2792;-1;-1;-1;-1;Province1984-Province2006
2002;2021;sea;2791;-1;-1;-1;-1;Province2002-Province2021
2002;2030;sea;2791;-1;-1;-1;-1;Province2002-Province2030
2002;2034;sea;2791;-1;-1;-1;-1;Province2002-Province2034
2005;2024;sea;2790;-1;-1;-1;-1;Province2005-Province2024
2026;2030;sea;2791;-1;-1;-1;-1;Province2026-Province2030
2026;2034;sea;2791;-1;-1;-1;-1;Province2026-Province2034
2021;2044;sea;2790;-1;-1;-1;-1;Province2021-Province2044
2024;2044;sea;2790;-1;-1;-1;-1;Province2024-Province2044
2030;2034;sea;2791;-1;-1;-1;-1;Province2030-Province2034
2037;2072;sea;2796;-1;-1;-1;-1;Province2037-Province2072
2034;2052;sea;2791;-1;-1;-1;-1;Province2034-Province2052
2103;2107;sea;2803;-1;-1;-1;-1;Province2103-Province2107
2103;2111;sea;2800;-1;-1;-1;-1;Province2103-Province2111
2211;2201;sea;2803;-1;-1;-1;-1;Province2211-Province2201
2380;2384;sea;2839;-1;-1;-1;-1;Province2380-Province2384
2435;2417;sea;2839;-1;-1;-1;-1;Province2435-Province2417
2433;2448;sea;2844;-1;-1;-1;-1;Province2433-Province2448
2344;2361;sea;2832;-1;-1;-1;-1;Province2344-Province2361
2411;2417;sea;2841;-1;-1;-1;-1;Province2411-Province2417
2255;2283;sea;2818;-1;-1;-1;-1;Province2255-Province2283
2255;2298;sea;2818;-1;-1;-1;-1;Province2255-Province2298
2302;2343;sea;2831;-1;-1;-1;-1;Province2302-Province2343
2317;2353;sea;2831;-1;-1;-1;-1;Province2317-Province2353
2283;2298;sea;2818;-1;-1;-1;-1;Province2283-Province2298
2314;2357;sea;2835;-1;-1;-1;-1;Province2314-Province2357
2343;2353;sea;2831;-1;-1;-1;-1;Province2343-Province2353
2351;2378;sea;2828;-1;-1;-1;-1;Province2351-Province2378
2343;2381;sea;2831;-1;-1;-1;-1;Province2343-Province2381
2351;2387;sea;2828;-1;-1;-1;-1;Province2351-Province2387
2353;2381;sea;2831;-1;-1;-1;-1;Province2353-Province2381
2377;2409;sea;2835;-1;-1;-1;-1;Province2377-Province2409
2378;2387;sea;2828;-1;-1;-1;-1;Province2378-Province2387
2370;2393;sea;2840;-1;-1;-1;-1;Province2370-Province2393
2496;2499;sea;2852;-1;-1;-1;-1;Province2496-Province2499
2384;2417;sea;2839;-1;-1;-1;-1;Province2384-Province2417
2387;2394;sea;2831;-1;-1;-1;-1;Province2387-Province2394
2387;2393;sea;2840;-1;-1;-1;-1;Province2387-Province2393
2393;2409;sea;2840;-1;-1;-1;-1;Province2393-Province2409
2804;2822;portage;1;-1;-1;-1;-1;Callisto Jupiter
2629;2637;portage;1;-1;-1;-1;-1;Venus
2501;2501;portage;1;-1;-1;-1;-1;It will stop working if you remove this
