c_abasava.tga e_empire0009.tga
c_atheorma.tga c_province0316.tga
c_athong.tga c_province0330.tga
c_athosz.tga d_duchy0056.tga
c_atielih.tga c_province0030.tga
c_atodonne.tga c_province0063.tga
c_atsinos.tga c_province0079.tga
c_atuberic.tga c_province0056.tga
c_atugno.tga e_empire0188.tga
c_auifr.tga k_kingdom0188.tga
c_avalena.tga d_duchy0188.tga
c_avasory.tga c_province0188.tga
c_averim.tga e_empire0203.tga
c_averura.tga k_kingdom0132.tga
c_avim.tga d_duchy0132.tga
c_avimena.tga c_province0132.tga
c_avitutai.tga k_kingdom0151.tga
c_aviuva.tga d_duchy0139.tga
c_avlergun.tga c_province0111.tga
c_awasuvje.tga c_province0169.tga
c_axibisii.tga c_province0139.tga
c_azaynine.tga d_duchy0151.tga
c_azilay.tga c_province0114.tga
c_azluke.tga c_province0151.tga
c_azozulk.tga k_kingdom0172.tga
c_azwuigi.tga d_duchy0172.tga
c_baaminai.tga c_province0172.tga
c_baath.tga k_kingdom0222.tga
c_baatun.tga d_duchy0222.tga
c_babdajid.tga c_province0213.tga
c_babha.tga c_province0222.tga
c_bacita.tga k_kingdom0203.tga
c_badank.tga d_duchy0129.tga
c_badase.tga c_province0101.tga
c_badenda.tga c_province0129.tga
c_badokal.tga d_duchy0203.tga
c_badudan.tga c_province0168.tga
c_bageuta.tga c_province0203.tga
c_bagotus.tga e_empire0223.tga
c_bahala.tga k_kingdom0162.tga
c_baham.tga d_duchy0091.tga
c_bahava.tga c_province0062.tga
c_baiy.tga c_province0084.tga
c_bajaih.tga c_province0109.tga
c_bajiuva.tga c_province0091.tga
c_bajokia.tga d_duchy0122.tga
c_bajoras.tga c_province0107.tga
c_bajunno.tga c_province0136.tga
c_bakandi.tga c_province0122.tga
c_bakania.tga d_duchy0162.tga
c_bakaug.tga c_province0152.tga
c_bakh.tga c_province0199.tga
c_bakoja.tga c_province0240.tga
c_balam.tga c_province0162.tga
c_balaud.tga k_kingdom0196.tga
c_balayla.tga d_duchy0196.tga
c_balca.tga c_province0196.tga
c_baleba.tga k_kingdom0223.tga
c_baline.tga d_duchy0223.tga
c_balirai.tga c_province0189.tga
c_baliya.tga c_province0221.tga
c_balosye.tga c_province0223.tga
c_baluji.tga e_united_states.tga
c_baluti.tga k_texas.tga
c_bamala.tga d_austin.tga
c_bamaqar.tga c_austin.tga
c_bamatta.tga c_province0182.tga
c_bamella.tga c_austin.tga
c_bamijah.tga k_kingdom0161.tga
c_bamimhi.tga d_duchy0126.tga
c_bamoan.tga c_houston.tga
c_bamolad.tga c_province0126.tga
c_bamote.tga d_duchy0192.tga
c_banaaz.tga c_province0170.tga
c_banann.tga c_province0224.tga
c_banele.tga c_province0192.tga
c_banihui.tga d_duchy0226.tga
c_banita.tga c_province0197.tga
c_banobos.tga c_province0219.tga
c_banoda.tga c_province0246.tga
c_banory.tga c_province0226.tga
c_baqarma.tga d_duchy0233.tga
c_barahim.tga c_province0231.tga
c_baraht.tga c_province0233.tga
c_baralio.tga d_duchy0277.tga
c_baranca.tga c_province0254.tga
c_barasa.tga c_province0257.tga
c_barazi.tga c_province0282.tga
c_baresh.tga c_province0277.tga
c_barirma.tga d_duchy0161.tga
c_barita.tga c_province0144.tga
c_barory.tga c_province0190.tga
c_basaya.tga c_province0161.tga
c_baseek.tga k_kingdom0245.tga
c_basevi.tga d_norcal.tga
c_basina.tga c_north_bay.tga
c_basyana.tga c_gold_country.tga
c_batal.tga c_norcal.tga
c_batha.tga d_duchy0289.tga
c_baumaug.tga c_province0267.tga
c_baurezo.tga c_province0289.tga
c_bausis.tga d_duchy0299.tga
c_bawobos.tga c_province0270.tga
c_baxuin.tga c_province0294.tga
c_bayasia.tga c_province0325.tga
c_bebulay.tga c_province0299.tga
c_becam.tga d_duchy0345.tga
c_becolad.tga c_province0341.tga
c_bega.tga c_province0352.tga
c_begille.tga c_province0367.tga
c_begin.tga c_province0345.tga
c_begs.tga d_duchy0245.tga
c_behahar.tga c_province0241.tga
c_beirein.tga c_province0245.tga
c_belal.tga k_kingdom0349.tga
c_belanie.tga d_duchy0312.tga
c_belarde.tga c_province0306.tga
c_beleuta.tga c_province0312.tga
c_belgil.tga d_duchy0349.tga
c_belilai.tga c_province0336.tga
c_belina.tga c_province0349.tga
c_belme.tga k_california.tga
c_belobos.tga d_bay_area.tga
c_beloda.tga c_santa_barbara.tga
c_bemala.tga c_san_francisco.tga
c_beman.tga d_sierras.tga
c_bemoka.tga c_sacramento.tga
c_bemoste.tga c_sierras.tga
c_benana.tga k_the_south.tga
c_beneek.tga d_florida.tga
c_benegs.tga c_miami.tga
c_benit.tga k_kingdom0184.tga
c_benita.tga d_duchy0184.tga
c_beoek.tga c_province0165.tga
c_beonita.tga c_province0184.tga
c_beram.tga k_kingdom0198.tga
c_berepe.tga d_duchy0198.tga
c_beridena.tga c_province0198.tga
c_bermoj.tga k_kingdom0244.tga
c_berning.tga d_nashville.tga
c_ber-ona.tga c_province0204.tga
c_beruin.tga c_nashville.tga
c_betana.tga d_duchy0239.tga
c_betatha.tga c_atlanta.tga
c_betille.tga c_province0239.tga
c_bettu.tga d_duchy0291.tga
c_bevan.tga c_province0274.tga
c_bevar.tga c_province0291.tga
c_bevene.tga d_duchy0244.tga
c_beyao.tga c_province0229.tga
c_beynard.tga c_province0258.tga
c_bibeelo.tga c_province0259.tga
c_bibirai.tga c_province0283.tga
c_bibura.tga c_province0244.tga
c_bida.tga k_new_england.tga
c_biderin.tga d_chesapeake_bay.tga
c_biduna.tga c_province0250.tga
c_bielan.tga c_province0271.tga
c_bijaim.tga c_province0288.tga
c_bilania.tga c_district_of_columbia.tga
c_bilari.tga k_kingdom0272.tga
c_bilund.tga d_duchy0272.tga
c_bimagos.tga c_province0272.tga
c_bimais.tga e_latin_america.tga
c_bimavak.tga k_brazil.tga
c_binahad.tga d_duchy0106.tga
c_binanka.tga c_province0075.tga
c_binast.tga c_province0100.tga
c_binipa.tga c_province0104.tga
c_binius.tga c_province0106.tga
c_binnam.tga d_rio.tga
c_binuna.tga c_province0110.tga
c_binyay.tga c_rio.tga
c_bipole.tga c_rio_de_janeiro.tga
c_biram.tga d_duchy0167.tga
c_birania.tga c_province0148.tga
c_bireodat.tga c_province0167.tga
c_birit.tga k_kingdom0234.tga
c_birith.tga d_duchy0234.tga
c_birma.tga c_province0202.tga
c_bisan.tga c_province0234.tga
c_bisayla.tga k_kingdom0247.tga
c_biseph.tga d_duchy0243.tga
c_bisuall.tga c_province0206.tga
c_bitacob.tga c_province0243.tga
c_bitaria.tga d_duchy0247.tga
c_bitene.tga c_province0194.tga
c_bitoja.tga c_province0273.tga
c_biudvi.tga c_province0247.tga
c_biutl.tga k_kingdom0276.tga
c_bizarya.tga d_duchy0276.tga
c_bobila.tga c_province0276.tga
c_bobolad.tga e_empire0302.tga
c_bodahar.tga k_kingdom0302.tga
c_bodari.tga d_duchy0302.tga
c_bodilu.tga c_province0285.tga
c_bodosz.tga c_province0302.tga
c_boghan.tga e_empire0305.tga
c_bohasin.tga k_kingdom0134.tga
c_bohn.tga d_duchy0068.tga
c_boiteba.tga c_province0055.tga
c_bojolad.tga c_province0085.tga
c_bojucia.tga c_province0068.tga
c_bokund.tga d_duchy0134.tga
c_bolerhi.tga c_province0102.tga
c_bolimon.tga c_province0146.tga
c_bolopher.tga c_province0134.tga
c_boloul.tga k_kingdom0155.tga
c_bomad.tga d_ryha.tga
c_bomatha.tga c_province0097.tga
c_bonirek.tga c_province0157.tga
c_borad.tga c_ryha.tga
c_borard.tga d_duchy0183.tga
c_borine.tga c_province0128.tga
c_borisla.tga c_province0175.tga
c_bororgia.tga c_province0183.tga
c_bosathi.tga d_duchy0205.tga
c_boses.tga c_province0173.tga
c_boshel.tga c_province0217.tga
c_bosoch.tga c_province0235.tga
c_bounava.tga c_province0205.tga
c_budelen.tga d_duchy0155.tga
c_bulaide.tga c_province0115.tga
c_bulain.tga c_province0127.tga
c_bulana.tga c_province0155.tga
c_bulia.tga k_kingdom0237.tga
c_bumanda.tga d_duchy0142.tga
c_bumann.tga c_province0092.tga
c_bumiuva.tga c_province0153.tga
c_bumunai.tga c_province0142.tga
c_buneek.tga d_duchy0201.tga
c_bupo.tga c_province0176.tga
c_buracob.tga c_province0209.tga
c_butibi.tga c_province0238.tga
c_byamyi.tga c_province0261.tga
c_byaqana.tga c_province0201.tga
c_byasapa.tga d_duchy0237.tga
c_byasessa.tga c_province0195.tga
c_byasille.tga c_province0260.tga
c_byasudan.tga c_province0237.tga
c_byeviat.tga k_kingdom0292.tga
c_byho.tga d_duchy0248.tga
c_byiga.tga c_province0236.tga
c_byoluk.tga c_province0248.tga
c_byouska.tga d_duchy0292.tga
c_byud.tga c_province0266.tga
c_byunah.tga c_province0298.tga
c_byusyt.tga c_foothills_of_mun.tga
c_daador.tga c_province0292.tga
c_daareda.tga k_kingdom0305.tga
c_daasar.tga d_duchy0279.tga
c_dacand.tga c_province0252.tga
c_dacaya.tga c_province0256.tga
c_daceila.tga c_province0280.tga
c_dadall.tga c_province0279.tga
c_dadano.tga d_duchy0290.tga
c_dadaod.tga c_province0262.tga
c_dadarya.tga c_province0290.tga
c_dadew.tga d_duchy0309.tga
c_dadost.tga c_province0268.tga
c_daetulk.tga c_province0295.tga
c_dagajid.tga c_province0310.tga
c_dagalan.tga c_province0318.tga
c_dagalgi.tga c_province0309.tga
c_dagaoji.tga d_duchy0305.tga
c_daherne.tga c_province0303.tga
c_dahoald.tga c_province0305.tga
c_daideva.tga e_empire0333.tga
c_daisou.tga k_kingdom0333.tga
c_dajawit.tga d_duchy0333.tga
c_dajita.tga c_province0333.tga
c_dajund.tga e_empire0350.tga
c_dakaya.tga k_kingdom0359.tga
c_dakenda.tga d_toronto.tga
c_dakevon.tga c_province0308.tga
c_dakourou.tga c_toronto.tga
c_dala.tga d_duchy0320.tga
c_dalair.tga c_province0301.tga
c_dalan.tga c_province0323.tga
c_dalar.tga c_province0337.tga
c_daleki.tga c_province0346.tga
c_dalemir.tga c_province0320.tga
c_dalilay.tga d_duchy0322.tga
c_dalimon.tga c_province0304.tga
c_daline.tga c_province0322.tga
c_dalio.tga d_duchy0361.tga
c_dalit.tga c_province0347.tga
c_daloses.tga c_province0360.tga
c_dalusbu.tga c_province0361.tga
c_damalda.tga d_duchy0359.tga
c_damalta.tga c_province0339.tga
c_damapal.tga c_province0359.tga
c_damekel.tga k_kingdom0350.tga
c_damella.tga d_duchy0350.tga
c_damida.tga c_new_york.tga
c_damiek.tga c_province0350.tga
c_damur.tga e_empire0351.tga
c_damyer.tga k_kingdom0351.tga
c_damyula.tga d_duchy0351.tga
c_dana.tga c_province0351.tga
c_danagha.tga e_empire0372.tga
c_danajan.tga k_kingdom0293.tga
c_daneuta.tga d_duchy0251.tga
c_danyuan.tga c_northern_jungle.tga
c_daracob.tga c_province0251.tga
c_daraila.tga d_duchy0284.tga
c_daraja.tga c_province0265.tga
c_darapal.tga c_province0284.tga
c_darari.tga d_duchy0293.tga
c_daraut.tga c_province0269.tga
c_dareka.tga c_province0293.tga
c_daret.tga k_kingdom0335.tga
c_dareter.tga d_duchy0227.tga
c_dareuta.tga c_province0207.tga
c_dareva.tga c_province0242.tga
c_darit.tga c_province0227.tga
c_daroise.tga d_duchy0307.tga
c_daros.tga c_province0286.tga
c_dartay.tga c_province0313.tga
c_darune.tga c_province0307.tga
c_dary.tga d_duchy0315.tga
c_darying.tga c_province0297.tga
c_dasilvi.tga c_province0311.tga
c_dasing.tga c_province0315.tga
c_datavid.tga d_duchy0340.tga
c_dathed.tga c_province0331.tga
c_dathedey.tga c_province0355.tga
c_dating.tga c_province0340.tga
c_datisam.tga d_duchy0335.tga
c_datta.tga c_province0324.tga
c_daufoa.tga c_province0327.tga
c_daulaqar.tga c_province0335.tga
c_dauloul.tga k_kingdom0362.tga
c_davaly.tga d_duchy0326.tga
c_davana.tga c_northern_oasis.tga
c_daxaicu.tga c_province0326.tga
c_daxint.tga d_duchy0362.tga
c_daxopluk.tga c_province0343.tga
c_dayohn.tga c_province0362.tga
c_deacob.tga k_kingdom0385.tga
c_debas.tga d_duchy0344.tga
c_decalih.tga c_province0328.tga
c_dedaug.tga c_province0332.tga
c_deextus.tga c_southern_jungles.tga
c_degapo.tga c_province0344.tga
c_degiana.tga d_duchy0375.tga
c_dehund.tga c_province0353.tga
c_deineer.tga c_province0365.tga
c_deinory.tga c_province0381.tga
c_deir.tga c_province0375.tga
c_deirim.tga d_duchy0385.tga
c_deiroro.tga c_province0376.tga
c_dekius.tga c_province0396.tga
c_dekuna.tga c_province0385.tga
c_delann.tga k_kingdom0388.tga
c_delaz.tga d_duchy0368.tga
c_delemba.tga c_province0358.tga
c_delila.tga c_province0370.tga
c_deluda.tga c_province0368.tga
c_deman.tga d_duchy0387.tga
c_demd.tga c_province0377.tga
c_demogna.tga c_province0398.tga
c_denain.tga c_province0400.tga
c_denann.tga c_province0406.tga
c_denapa.tga c_province0387.tga
c_denar.tga d_duchy0391.tga
c_denes.tga c_province0379.tga
c_dengar.tga c_province0391.tga
c_denoura.tga d_duchy0388.tga
c_denzo.tga c_province0384.tga
c_deodat.tga c_province0395.tga
c_deones.tga c_province0388.tga
c_deram.tga k_kingdom0372.tga
c_deremha.tga d_duchy0372.tga
c_derew.tga c_province0348.tga
c_dernat.tga c_province0372.tga
c_derudrd.tga e_empire0383.tga
c_derunnar.tga k_kingdom0383.tga
c_detagan.tga d_duchy0383.tga
c_devund.tga c_almuqadasa_isle.tga
c_deyfion.tga c_province0383.tga
c_dezayor.tga e_empire0393.tga
c_dezork.tga k_kingdom0389.tga
c_dibaria.tga d_duchy0373.tga
c_dibew.tga c_province0357.tga
c_dibisam.tga c_province0364.tga
c_diegawa.tga c_province0373.tga
c_dierian.tga d_duchy0413.tga
c_difegin.tga c_province0403.tga
c_digima.tga c_province0415.tga
c_digund.tga c_province0413.tga
c_dijasia.tga d_duchy0389.tga
c_dilaz.tga c_province0382.tga
c_dilory.tga c_province0389.tga
c_dimuo.tga k_kingdom0393.tga
c_dina.tga d_duchy0392.tga
c_dinild.tga c_province0390.tga
c_dinita.tga c_province0401.tga
c_dinyuchi.tga c_province0392.tga
c_dira.tga d_duchy0440.tga
c_dirawuj.tga c_province0431.tga
c_diseda.tga c_province0440.tga
c_disyze.tga d_duchy0447.tga
c_dituke.tga c_province0420.tga
c_ditulun.tga c_province0449.tga
c_diusevi.tga c_province0447.tga
c_divuna.tga d_duchy0393.tga
c_dizahar.tga c_province0378.tga
c_dizalotl.tga c_province0393.tga
c_dizayla.tga e_empire0454.tga
c_doan.tga k_kingdom0423.tga
c_dodakk.tga d_duchy0422.tga
c_dodew.tga c_province0405.tga
c_doduis.tga c_province0433.tga
c_dofaul.tga c_province0422.tga
c_doffer.tga d_duchy0423.tga
c_dofyan.tga c_province0404.tga
c_dogah.tga c_province0421.tga
c_dohiban.tga c_province0437.tga
c_doholjo.tga c_province0423.tga
c_dolin.tga k_kingdom0454.tga
c_dolun.tga d_duchy0424.tga
c_domein.tga c_province0409.tga
c_domisha.tga c_province0424.tga
c_domyi.tga d_duchy0454.tga
c_donailo.tga c_province0436.tga
c_donapur.tga c_province0482.tga
c_donomir.tga c_province0498.tga
c_doratok.tga c_province0454.tga
c_doreuta.tga e_empire0504.tga
c_dorine.tga k_kingdom0467.tga
c_doriy.tga d_duchy0428.tga
c_dorula.tga c_province0411.tga
c_dorulad.tga c_province0428.tga
c_dosoor.tga d_duchy0478.tga
c_dosutai.tga c_province0455.tga
c_dosz.tga c_province0471.tga
c_doteas.tga c_province0478.tga
c_doyan.tga d_duchy0495.tga
c_dualis.tga c_province0459.tga
c_dubyula.tga c_province0470.tga
c_ducaht.tga c_province0481.tga
c_ducune.tga c_province0515.tga
c_dudak.tga c_province0495.tga
c_dudari.tga d_duchy0510.tga
c_dudavac.tga c_province0486.tga
c_dudunya.tga c_province0508.tga
c_duelle.tga c_province0533.tga
c_dugua.tga c_province0510.tga
c_duigun.tga d_duchy0525.tga
c_dukim.tga c_province0502.tga
c_duleda.tga c_province0525.tga
c_dumandar.tga d_duchy0551.tga
c_dumiuva.tga c_province0543.tga
c_dunaba.tga c_province0550.tga
c_dunache.tga c_province0568.tga
c_dunahad.tga c_province0551.tga
c_duneike.tga d_duchy0467.tga
c_duneir.tga c_province0450.tga
c_dunin.tga c_province0467.tga
c_dunoul.tga k_al'alrd.tga
c_duop.tga d_duchy0417.tga
c_dupou.tga c_province0402.tga
c_durassa.tga c_province0444.tga
c_durast.tga c_province0417.tga
c_dutennu.tga d_al'alrd.tga
c_duwund.tga c_province0473.tga
c_duzniq.tga c_al'alrd.tga
c_duzoja.tga e_empire0513.tga
c_duzul.tga k_kingdom0366.tga
c_dyaakka.tga d_duchy0253.tga
c_dyailan.tga c_province0210.tga
c_dyal.tga c_province0296.tga
c_dyasateh.tga c_province0253.tga
c_dyasork.tga d_duchy0314.tga
c_dyeju.tga c_province0281.tga
c_dyia.tga c_province0314.tga
c_dyigila.tga d_duchy0338.tga
c_dyogehra.tga c_jungle_peninsula.tga
c_dyousse.tga c_province0354.tga
c_dyuin.tga c_province0338.tga
c_dyunilda.tga d_duchy0371.tga
c_dyuvad.tga c_province0356.tga
c_ebahapal.tga c_province0380.tga
c_ebar.tga c_province0371.tga
c_ebawyuan.tga d_duchy0366.tga
c_ebayar.tga c_province0342.tga
c_ebayine.tga c_province0374.tga
c_ebdarie.tga c_province0366.tga
c_ebdoljo.tga k_kingdom0432.tga
c_ebeas.tga d_duchy0427.tga
c_ebeatda.tga c_province0408.tga
c_ebelude.tga c_province0435.tga
c_ebenann.tga c_province0443.tga
c_ebeneth.tga c_province0427.tga
c_ebernia.tga d_duchy0429.tga
c_ebieguke.tga c_province0419.tga
c_ebing.tga c_province0434.tga
c_eboreth.tga c_province0429.tga
c_eboroman.tga d_duchy0432.tga
c_ebozaba.tga c_province0418.tga
c_ebozar.tga c_province0451.tga
c_ebudary.tga c_province0432.tga
c_eburita.tga k_kingdom0438.tga
c_ecasozar.tga d_duchy0397.tga
c_echeas.tga c_province0386.tga
c_echomeus.tga c_province0410.tga
c_ecleva.tga c_province0397.tga
c_ecomegus.tga d_duchy0407.tga
c_econne.tga c_province0394.tga
c_ecotiel.tga c_province0399.tga
c_ecotijah.tga c_province0407.tga
c_ecotirma.tga d_duchy0489.tga
c_ecrerfn.tga c_joro_jungle.tga
c_edaaq.tga c_province0489.tga
c_edaumald.tga d_duchy0438.tga
c_edavana.tga c_province0416.tga
c_edavimar.tga c_province0448.tga
c_edazja.tga c_province0465.tga
c_eder-ija.tga c_province0438.tga
c_edhamohn.tga k_kingdom0441.tga
c_edieltun.tga d_duchy0430.tga
c_edilal.tga c_province0414.tga
c_edine.tga c_province0426.tga
c_edoja.tga c_province0446.tga
c_edosz.tga c_province0430.tga
c_edrasta.tga d_duchy0441.tga
c_edreodat.tga c_province0439.tga
c_edudrd.tga c_province0441.tga
c_edukooma.tga k_new_tehran.tga
c_efagena.tga d_new_tehran.tga
c_efeisxi.tga c_new_tehran.tga
c_eferagan.tga k_kingdom0517.tga
c_eforipa.tga d_duchy0485.tga
c_efurisii.tga c_province0484.tga
c_egabaghu.tga c_province0485.tga
c_egag.tga d_duchy0541.tga
c_egaiija.tga c_province0532.tga
c_egajaria.tga c_province0541.tga
c_egalael.tga d_duchy0553.tga
c_egaledey.tga c_province0527.tga
c_egamily.tga c_province0565.tga
c_egasin.tga c_province0573.tga
c_egawama.tga c_province0553.tga
c_egerge.tga d_duchy0569.tga
c_egisokol.tga c_province0542.tga
c_egisuo.tga c_province0569.tga
c_egojanja.tga d_duchy0517.tga
c_egopohan.tga c_province0514.tga
c_egorobos.tga c_province0540.tga
c_egreya.tga c_province0517.tga
c_eguifr.tga k_kingdom0524.tga
c_eguolas.tga d_duchy0497.tga
c_ehakita.tga c_province0466.tga
c_ehakk.tga c_province0497.tga
c_ehakoto.tga d_duchy0500.tga
